Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
08/11/2015, Packers,71,19,331,48,25,7,87,1,1,21,14,3,3,2,1668,29, Panthers,130,36,297,30,15,6,45,0,1,20,15,5,0,0,1932,37
08/11/2015, Broncos,35,14,274,36,21,8,56,0,2,16,12,6,0,0,1281,24, Colts,120,40,245,36,21,4,30,0,0,27,20,12,0,0,2319,27
08/11/2015, Jaguars,98,19,338,40,24,4,30,2,2,19,16,7,0,0,1756,23, Jets,29,28,261,34,21,6,41,0,0,14,15,5,1,1,1844,28
08/11/2015, Falcons,17,14,285,45,30,6,63,0,0,17,15,5,0,0,1928,16, 49ers,133,38,185,26,15,5,30,0,2,18,14,6,2,2,1672,17
08/11/2015, Rams,160,36,160,33,18,12,87,0,0,18,16,2,1,1,1947,18, Vikings,145,35,148,27,15,6,67,0,1,21,13,3,0,0,1993,21
08/11/2015, Redskins,37,15,213,40,22,4,27,1,1,16,14,7,1,0,1375,10, Patriots,161,37,299,39,26,6,43,1,1,27,16,9,1,1,2225,27
08/11/2015, Giants,114,33,213,40,26,6,49,0,2,24,16,9,1,0,2095,32, Buccaneers,136,23,249,36,19,9,79,3,0,19,13,6,0,0,1505,18
09/11/2015, Eagles,172,35,287,36,25,10,70,0,0,25,13,3,2,2,1542,33, Cowboys,134,29,277,38,25,8,58,0,1,25,16,8,2,2,2299,27
10/11/2015, Bears,109,29,337,40,27,6,55,1,1,25,15,9,0,0,2015,22, Chargers,77,19,262,42,26,8,54,1,0,19,13,7,1,0,1585,19
13/11/2015, Bills,148,33,132,27,17,5,44,0,0,13,16,5,1,0,1996,22, Jets,128,24,190,34,15,3,20,2,2,15,13,3,3,1,1604,17
15/11/2015, Panthers,119,34,184,26,21,5,45,0,0,24,13,7,0,0,2155,27, Titans,64,21,178,24,16,4,30,1,1,11,12,5,0,0,1445,10
15/11/2015, Bears,153,37,244,24,19,4,44,2,0,17,12,3,1,1,2062,37, Rams,94,21,191,37,17,8,57,1,1,12,14,4,2,0,1538,13
15/11/2015, Saints,158,25,192,28,19,7,50,0,2,16,11,4,2,0,1586,14, Redskins,213,31,301,25,20,5,26,0,0,23,11,6,0,0,2014,47
15/11/2015, Browns,15,14,327,45,33,12,188,2,1,20,13,5,3,1,1963,9, Steelers,60,21,399,37,25,5,50,1,1,22,10,3,1,0,1637,30
15/11/2015, Cowboys,42,21,174,29,19,6,65,0,1,12,13,4,0,0,1804,6, Buccaneers,84,26,246,39,22,7,62,0,2,23,12,4,0,0,1796,10
15/11/2015, Lions,45,26,242,38,24,3,35,0,1,16,16,5,1,1,1840,18, Packers,47,18,325,61,35,5,55,0,0,22,19,9,0,0,1760,16
15/11/2015, Jaguars,90,22,168,45,22,4,30,0,1,22,16,4,0,0,1832,22, Ravens,89,21,308,45,34,9,121,2,2,22,14,8,1,0,1768,20
15/11/2015, Vikings,263,33,122,22,14,3,15,0,0,21,11,4,0,0,1981,30, Raiders,84,19,287,43,29,8,82,0,2,20,14,7,0,0,1619,14
15/11/2015, Chiefs,106,32,197,31,17,11,102,0,0,13,16,4,1,1,2007,29, Broncos,69,16,152,44,19,5,55,0,5,18,14,3,3,2,1593,13
15/11/2015, Patriots,77,23,329,42,26,7,93,1,1,22,14,7,1,1,1896,27, Giants,80,23,342,44,24,8,49,1,0,21,15,7,0,0,1704,26
15/11/2015, Dolphins,99,26,190,36,21,8,84,0,0,15,15,5,0,0,1733,20, Eagles,83,36,353,48,33,7,54,0,1,29,18,7,2,1,1867,19
16/11/2015, Cardinals,117,33,334,48,29,9,71,2,1,30,17,8,0,0,2332,39, Seahawks,115,18,228,32,14,14,131,0,1,18,8,1,1,1,1268,32
17/11/2015, Texans,82,25,174,33,17,5,54,0,1,16,15,5,1,0,1714,10, Bengals,73,21,183,38,22,9,70,1,1,16,14,4,1,0,1886,6
20/11/2015, Titans,104,26,212,35,22,6,59,1,0,22,13,5,0,0,1895,13, Jaguars,90,23,218,31,21,8,88,1,1,18,13,4,0,0,1705,19
22/11/2015, Jets,70,21,197,39,19,7,54,0,2,16,14,3,2,1,1595,17, Texans,123,37,241,35,17,3,54,1,0,19,18,7,0,0,2005,24
22/11/2015, Packers,124,34,196,34,16,4,19,0,0,19,16,6,0,0,1822,30, Vikings,94,18,248,38,25,8,110,1,0,16,13,5,2,0,1778,13
22/11/2015, Redskins,14,12,172,30,22,9,68,4,1,9,9,2,1,1,1313,16, Panthers,142,39,226,34,21,8,66,0,0,27,14,7,1,0,2287,44
22/11/2015, Buccaneers,283,42,238,29,19,9,82,1,0,25,16,10,1,1,2154,45, Eagles,136,28,247,41,26,5,25,1,3,21,15,7,0,0,1446,17
22/11/2015, 49ers,59,16,247,34,22,5,42,0,0,14,11,2,0,0,1341,13, Seahawks,255,44,253,29,24,8,51,0,0,28,14,8,0,0,2259,29
22/11/2015, Rams,82,29,131,26,12,6,35,4,0,13,13,3,0,0,1628,13, Ravens,96,28,292,44,27,10,137,0,2,16,16,4,1,0,1972,16
22/11/2015, Chiefs,153,31,232,25,20,5,35,0,0,22,12,5,1,1,2008,33, Chargers,52,25,149,30,19,6,39,1,1,14,13,4,1,0,1592,3
22/11/2015, Colts,74,27,202,32,23,7,42,1,2,17,14,7,0,0,1959,24, Falcons,100,24,275,46,25,6,69,1,3,21,16,8,1,0,1641,21
22/11/2015, Cowboys,166,38,220,28,18,10,79,0,2,22,14,7,2,1,2330,24, Dolphins,70,14,140,24,13,9,74,0,1,9,10,1,1,0,1270,14
22/11/2015, Broncos,170,36,219,27,20,8,118,0,0,21,14,6,1,0,1993,17, Bears,86,25,261,32,18,0,0,1,1,19,12,4,1,0,1607,15
22/11/2015, Raiders,50,21,164,25,13,6,31,0,0,13,11,4,0,0,1438,13, Lions,109,31,266,35,22,7,55,0,0,22,14,6,0,0,2162,18
23/11/2015, Bengals,99,28,278,39,22,10,108,1,0,24,13,5,1,1,1875,31, Cardinals,82,25,301,31,20,7,40,0,2,21,11,5,0,0,1725,34
24/11/2015, Bills,94,30,225,36,20,5,44,1,0,16,15,3,1,1,1975,13, Patriots,85,22,271,39,20,5,61,0,1,18,14,4,0,0,1625,20
26/11/2015, Panthers,129,37,165,27,16,8,53,0,0,18,16,8,0,0,2114,33, Cowboys,31,14,179,40,24,5,40,0,3,14,13,6,1,0,1486,14
26/11/2015, Eagles,68,25,159,27,19,2,30,1,0,14,14,6,0,0,1369,14, Lions,108,30,322,38,27,4,29,0,0,28,10,5,0,0,2231,45
27/11/2015, Bears,101,31,189,31,19,12,95,0,0,17,14,5,0,0,1872,17, Packers,177,28,188,43,22,3,38,1,1,23,11,3,2,0,1728,13
29/11/2015, Giants,33,13,299,51,26,4,35,0,3,17,15,3,2,2,1440,14, Redskins,105,37,302,29,20,7,80,0,0,18,15,4,2,1,2160,20
29/11/2015, Vikings,191,39,174,28,20,9,53,0,1,24,12,7,0,0,2008,20, Falcons,116,24,210,31,22,6,78,1,2,22,11,5,1,0,1592,10
29/11/2015, Cardinals,70,29,267,40,24,7,47,0,0,26,14,7,1,0,2247,19, 49ers,67,17,301,36,25,13,81,1,1,17,9,0,2,1,1353,13
29/11/2015, Dolphins,12,9,321,58,33,6,45,1,1,20,15,4,2,2,1724,20, Jets,137,34,274,37,22,6,40,0,0,24,17,10,1,0,1876,38
29/11/2015, Raiders,84,30,323,38,24,11,94,2,0,22,15,8,1,0,2095,24, Titans,44,18,205,37,17,4,25,0,2,19,12,3,1,0,1505,21
29/11/2015, Buccaneers,132,21,212,36,20,12,95,0,1,21,13,6,1,0,1655,12, Colts,27,26,309,42,26,6,45,0,0,23,16,7,0,0,1945,25
29/11/2015, Steelers,58,14,480,59,37,6,65,0,4,26,11,5,1,0,1920,30, Seahawks,100,27,336,30,21,8,76,0,0,21,13,7,0,0,1680,39
29/11/2015, Saints,50,10,218,44,25,10,82,0,1,14,12,3,1,0,1417,6, Texans,167,38,195,27,21,6,40,0,1,23,13,6,0,0,2183,24
29/11/2015, Chargers,79,26,290,43,29,8,70,0,0,24,14,6,1,1,1884,31, Jaguars,102,19,318,49,30,6,35,0,1,20,15,5,3,2,1716,25
29/11/2015, Rams,94,17,251,53,36,7,45,0,3,19,15,6,3,1,1793,7, Bengals,140,31,236,28,21,3,35,0,1,19,10,3,1,0,1807,31
29/11/2015, Bills,129,28,286,38,21,9,91,2,0,25,12,5,1,0,1832,22, Chiefs,158,27,255,30,19,8,58,0,0,21,13,6,0,0,1768,30
30/11/2015, Patriots,39,16,262,42,23,5,47,1,0,16,13,2,1,0,1557,24, Broncos,179,32,254,42,23,6,46,0,1,23,16,4,1,1,2191,30
01/12/2015, Ravens,104,23,232,34,20,7,50,0,2,16,11,2,2,2,1770,33, Browns,63,18,275,48,28,2,15,0,0,21,15,4,2,2,1830,27
04/12/2015, Packers,67,24,246,36,24,7,55,0,1,19,12,3,1,1,1616,27, Lions,101,25,205,35,23,9,108,1,0,17,16,6,1,1,1984,23
06/12/2015, Broncos,134,39,159,26,16,3,18,0,1,19,13,6,0,0,1977,17, Chargers,93,23,179,35,18,8,72,2,1,15,14,5,2,0,1623,3
06/12/2015, 49ers,121,23,170,32,18,6,50,0,0,13,16,7,0,0,1486,26, Bears,170,42,194,31,18,8,72,0,1,20,17,8,0,0,2244,20
06/12/2015, Jets,90,24,373,50,36,8,61,1,0,28,15,6,1,1,2311,23, Giants,74,24,281,34,18,8,60,0,1,14,15,4,2,1,1796,20
06/12/2015, Bengals,144,33,233,22,16,5,55,0,0,20,12,5,3,2,1858,37, Browns,68,19,205,38,25,7,84,1,1,18,13,6,2,0,1742,3
06/12/2015, Eagles,128,33,120,24,14,8,97,1,0,15,14,6,0,0,1544,35, Patriots,103,25,324,57,30,3,30,0,2,27,17,7,2,1,2056,28
06/12/2015, Jaguars,81,21,302,36,24,6,21,1,0,20,14,10,1,0,1586,39, Titans,210,35,257,29,20,4,38,1,1,26,13,8,0,0,2014,42
06/12/2015, Texans,126,26,275,43,26,10,89,0,1,21,15,7,1,0,1913,21, Bills,187,36,203,21,11,5,42,0,0,15,16,8,0,0,1687,30
06/12/2015, Seahawks,173,36,260,28,21,9,65,1,0,25,13,9,1,1,2110,38, Vikings,31,16,94,28,17,9,95,0,1,9,10,2,1,0,1490,7
06/12/2015, Cardinals,175,36,349,41,27,3,25,0,0,29,16,7,1,0,2387,27, Rams,66,15,146,35,15,7,104,0,1,9,12,1,2,1,1213,3
06/12/2015, Ravens,94,26,281,46,32,5,36,0,2,22,14,5,1,0,2289,13, Dolphins,137,26,82,19,9,5,31,1,0,8,13,4,0,0,1311,15
06/12/2015, Panthers,175,34,322,41,28,8,87,2,1,33,8,3,2,2,2194,41, Saints,70,14,264,42,24,11,104,0,1,21,10,3,1,0,1406,38
06/12/2015, Chiefs,89,22,143,22,16,11,88,2,0,15,8,3,0,0,1532,34, Raiders,99,24,262,48,31,4,21,0,3,27,14,6,2,0,2068,20
06/12/2015, Falcons,64,18,255,45,30,7,58,0,1,21,16,8,0,0,1725,19, Buccaneers,166,37,222,27,18,8,53,1,1,25,11,6,0,0,1875,23
07/12/2015, Colts,54,18,186,34,20,5,30,1,2,11,14,3,3,1,1630,10, Steelers,158,32,364,39,24,4,48,2,0,24,13,8,0,0,1970,45
08/12/2015, Cowboys,97,24,221,29,16,8,70,3,0,16,9,1,0,0,1633,19, Redskins,73,26,193,31,22,9,72,1,0,15,16,6,0,0,1967,16
11/12/2015, Vikings,72,24,317,36,25,3,25,3,0,23,11,6,0,0,1681,20, Cardinals,97,29,296,35,25,4,30,0,0,22,13,6,1,1,1919,23
13/12/2015, Bills,152,32,260,36,19,15,101,1,1,18,16,6,0,0,2102,20, Eagles,116,34,232,38,23,5,55,0,1,20,18,9,0,0,1498,23
13/12/2015, Titans,24,13,268,40,22,3,20,0,1,15,14,3,3,1,1444,8, Jets,183,34,256,36,21,3,20,0,0,24,15,7,1,1,2156,30
13/12/2015, Seahawks,123,36,301,33,24,6,42,1,0,28,12,8,0,0,2143,35, Ravens,28,14,274,40,23,9,94,1,1,16,11,3,1,0,1457,6
13/12/2015, Saints,87,35,301,41,31,12,95,0,0,26,17,12,0,0,2234,24, Buccaneers,115,19,176,32,18,8,80,0,0,18,11,4,1,1,1366,17
13/12/2015, Lions,111,20,220,46,30,5,45,0,1,22,13,5,1,0,2030,14, Rams,203,29,114,22,14,5,48,0,1,15,11,4,0,0,1570,21
13/12/2015, Colts,95,23,227,43,20,8,85,1,1,17,16,4,2,1,1848,16, Jaguars,154,29,226,30,16,5,40,2,0,24,9,2,1,1,1752,51
13/12/2015, Cowboys,171,20,99,29,13,6,30,0,1,11,11,1,2,0,1332,7, Packers,230,44,205,35,22,8,69,0,0,29,14,7,1,0,2268,28
13/12/2015, Redskins,99,33,275,31,24,8,63,0,1,24,12,7,0,0,2062,24, Bears,87,22,290,31,19,7,79,1,0,20,11,5,0,0,1538,21
13/12/2015, Falcons,54,16,176,41,25,6,54,2,2,15,14,4,4,1,1710,0, Panthers,142,32,282,27,19,6,60,0,0,20,12,6,1,0,1890,38
13/12/2015, 49ers,71,17,150,28,18,5,40,0,0,15,13,2,3,1,1341,10, Browns,230,41,251,31,21,8,71,1,1,28,12,6,0,0,2259,24
13/12/2015, Chargers,44,18,236,43,24,7,48,0,1,15,18,6,3,3,1868,3, Chiefs,150,25,179,23,15,8,53,1,1,18,11,6,0,0,1732,10
13/12/2015, Steelers,84,28,270,39,30,5,82,0,1,22,14,8,0,0,2147,33, Bengals,64,16,321,37,25,4,27,0,3,22,8,3,0,0,1453,20
13/12/2015, Raiders,27,23,99,29,12,10,70,0,0,8,15,3,0,0,1442,15, Broncos,34,21,276,51,35,4,27,2,0,20,18,4,3,1,2158,12
14/12/2015, Patriots,116,31,197,30,22,6,46,1,0,18,16,7,0,0,2114,27, Texans,87,22,102,24,12,4,36,1,0,7,14,3,2,0,1486,6
15/12/2015, Giants,92,31,337,31,27,3,25,1,0,25,11,5,0,0,1831,31, Dolphins,128,22,235,41,25,12,123,1,0,16,16,7,2,1,1769,24
18/12/2015, Buccaneers,146,27,363,50,29,9,56,1,1,30,10,3,1,0,1880,23, Rams,98,33,221,17,14,5,35,0,0,16,10,2,0,0,1720,31
20/12/2015, Titans,59,21,223,34,23,3,29,1,2,15,12,3,1,0,1823,16, Patriots,93,26,253,35,23,5,35,1,0,17,16,7,0,0,1777,33
20/12/2015, Chiefs,113,28,164,25,21,6,55,0,0,15,13,5,0,0,1939,34, Ravens,93,20,273,45,26,7,63,1,2,19,13,4,3,1,1661,14
20/12/2015, Texans,155,37,150,28,17,6,48,1,1,20,15,5,2,2,2036,16, Colts,50,19,140,32,18,8,94,1,1,14,13,4,0,0,1564,10
20/12/2015, Bills,240,31,212,27,16,8,56,0,0,21,13,5,3,1,1856,25, Redskins,123,27,308,28,22,5,6,1,0,23,11,7,0,0,1744,35
20/12/2015, Jets,73,26,299,39,26,8,61,0,1,20,14,5,1,0,1937,19, Cowboys,133,21,176,33,18,6,54,0,4,15,11,2,1,1,1663,16
20/12/2015, Browns,94,17,136,32,19,4,40,0,1,15,12,6,0,0,1527,13, Seahawks,182,36,241,30,21,5,30,0,0,28,12,9,0,0,2073,30
20/12/2015, Bengals,68,36,174,21,15,6,45,1,0,14,14,4,1,0,1859,24, 49ers,55,17,263,50,30,11,98,1,3,17,14,2,2,2,1741,14
20/12/2015, Broncos,104,25,281,44,21,12,127,1,1,20,17,9,2,0,1724,27, Steelers,23,17,354,55,40,9,63,0,2,28,15,7,0,0,1876,34
20/12/2015, Dolphins,44,19,187,34,20,9,72,1,0,13,14,2,3,3,1267,14, Chargers,140,36,302,36,26,7,48,0,2,26,14,9,0,0,2333,30
20/12/2015, Falcons,83,33,245,35,22,5,43,0,1,22,14,7,0,0,2073,23, Jaguars,72,20,285,38,23,5,62,0,1,21,8,0,1,0,1527,17
20/12/2015, Panthers,171,29,309,45,25,7,88,1,0,28,17,9,0,0,1852,38, Giants,161,27,245,46,29,7,47,1,1,21,15,6,2,2,1748,35
20/12/2015, Bears,94,20,199,37,26,6,39,1,1,21,12,5,1,1,1670,17, Vikings,129,36,221,20,17,4,45,0,0,20,12,8,0,0,1930,38
20/12/2015, Packers,103,28,190,39,22,6,75,1,1,18,13,4,0,0,1769,30, Raiders,120,25,252,47,23,10,95,0,2,20,17,5,4,1,1831,20
21/12/2015, Cardinals,230,39,263,33,20,1,10,0,0,28,14,8,0,0,2248,40, Eagles,74,20,350,41,28,5,38,2,2,19,12,6,2,0,1352,17
22/12/2015, Lions,150,23,246,25,22,10,92,1,0,24,8,4,0,0,1776,35, Saints,69,18,330,52,34,6,28,0,0,27,14,5,2,2,1824,27
25/12/2015, Chargers,72,25,271,49,31,9,75,1,0,19,16,5,1,0,2104,20, Raiders,106,24,175,38,23,16,121,0,1,14,15,4,0,0,2001,23
27/12/2015, Packers,101,26,77,29,16,7,59,3,1,16,17,5,3,2,1784,8, Cardinals,121,26,260,28,19,10,119,1,1,19,10,5,0,0,1816,38
27/12/2015, Bears,174,39,153,27,20,3,25,0,0,21,15,6,0,0,2223,26, Buccaneers,104,25,285,29,15,4,47,2,1,19,8,2,0,0,1377,21
27/12/2015, Browns,232,36,136,32,13,8,83,0,1,21,15,6,4,3,1864,13, Chiefs,136,27,122,22,15,5,33,0,1,16,12,4,1,1,1736,17
27/12/2015, Cowboys,121,25,186,31,13,8,65,1,1,14,14,7,0,0,1710,6, Bills,236,40,172,18,13,7,62,1,1,19,14,6,1,0,1890,16
27/12/2015, Jaguars,65,15,347,35,27,8,55,0,2,21,9,6,0,0,1327,27, Saints,135,35,402,36,25,5,40,0,0,29,13,8,1,1,2273,38
27/12/2015, Patriots,63,22,221,31,22,1,7,0,1,16,10,1,3,3,1713,20, Jets,143,27,285,41,26,6,39,1,0,24,13,5,0,0,2044,26
27/12/2015, 49ers,121,23,201,33,22,11,65,1,0,20,9,1,2,0,1410,17, Lions,87,28,284,37,29,7,71,0,0,26,12,4,1,1,2190,32
27/12/2015, Texans,128,42,202,26,16,4,28,1,0,19,16,7,0,0,2173,34, Titans,30,11,227,51,27,4,43,3,1,13,16,4,1,1,1427,6
27/12/2015, Panthers,155,20,113,30,17,4,40,1,0,18,10,4,1,0,1462,13, Falcons,77,30,296,30,23,3,20,1,0,21,15,9,0,0,2138,20
27/12/2015, Steelers,110,20,198,34,24,3,25,1,2,21,8,2,2,0,1540,17, Ravens,121,31,265,41,28,12,121,0,0,22,18,9,0,0,2060,20
27/12/2015, Redskins,67,26,351,46,31,8,70,0,0,25,14,5,0,0,2055,38, Eagles,45,16,353,56,37,8,45,2,0,23,19,7,3,2,1545,24
27/12/2015, Colts,100,23,168,29,17,6,60,0,0,20,12,6,0,0,1631,18, Dolphins,82,25,279,38,26,9,50,0,1,22,15,6,1,0,1969,12
27/12/2015, Rams,102,30,103,23,14,5,60,0,0,14,12,5,0,0,1674,23, Seahawks,59,22,253,41,25,10,83,2,1,18,17,8,1,1,1926,17
28/12/2015, Giants,91,20,272,34,20,7,48,0,3,15,11,1,2,0,1503,17, Vikings,218,40,150,25,15,2,10,0,0,17,16,6,0,0,2097,49
29/12/2015, Bengals,108,33,186,35,22,6,45,1,0,22,17,10,0,0,2248,17, Broncos,113,21,277,39,27,5,40,1,0,22,11,4,0,0,1670,20
03/01/2016, Chargers,110,29,207,35,21,7,45,0,1,15,18,6,2,0,2072,20, Broncos,210,32,293,31,19,6,35,3,2,21,11,5,0,0,1528,27
03/01/2016, Saints,67,22,323,43,32,4,45,1,0,24,10,6,1,0,1774,20, Falcons,92,26,327,36,24,4,32,1,1,25,12,8,0,0,1826,17
03/01/2016, Jaguars,32,14,183,32,17,7,53,2,2,11,12,1,2,1,1463,6, Texans,160,31,242,41,25,9,55,0,1,25,17,8,1,0,2137,30
03/01/2016, Rams,133,33,231,38,22,11,105,0,0,21,13,3,1,0,2310,16, 49ers,108,33,350,44,28,7,60,0,1,21,18,8,1,0,1983,19
03/01/2016, Eagles,120,26,315,38,30,3,11,1,1,23,13,10,0,0,1686,35, Giants,208,36,294,43,24,2,10,1,0,30,15,7,2,1,1914,30
03/01/2016, Redskins,146,36,291,26,19,3,20,0,0,19,14,7,1,1,2037,34, Cowboys,100,16,412,48,33,4,44,2,2,27,10,2,1,1,1563,23
03/01/2016, Raiders,48,16,157,33,21,7,59,0,1,14,14,3,1,1,1505,17, Chiefs,189,39,150,25,15,5,55,0,2,23,13,6,2,1,2095,23
03/01/2016, Titans,137,27,94,27,15,6,60,0,1,14,14,4,2,1,1603,24, Colts,127,32,200,38,21,6,71,0,1,20,17,7,0,0,1997,30
03/01/2016, Steelers,30,19,349,36,24,9,45,1,2,16,8,2,0,0,1563,28, Browns,86,23,177,46,24,8,47,2,2,22,16,4,4,1,2037,12
03/01/2016, Seahawks,145,37,209,32,22,6,70,0,0,22,15,8,1,1,2197,36, Cardinals,27,13,205,43,20,6,43,0,3,16,12,5,1,0,1403,6
03/01/2016, Lions,67,21,282,39,28,4,21,0,0,22,10,4,1,0,1950,24, Bears,108,25,234,23,17,1,15,0,3,16,12,7,0,0,1650,20
03/01/2016, Buccaneers,77,22,309,47,29,5,65,1,2,21,16,8,2,1,1690,10, Panthers,111,32,255,26,21,7,33,2,0,23,10,7,0,0,1910,38
03/01/2016, Jets,122,17,178,37,16,6,41,0,3,15,11,3,0,0,1247,17, Bills,113,43,182,28,18,4,45,1,0,18,20,9,2,2,2353,22
03/01/2016, Patriots,70,27,126,25,13,7,41,0,0,12,14,4,1,0,1735,10, Dolphins,96,34,342,38,25,10,93,0,0,20,17,8,1,0,1865,20
03/01/2016, Ravens,59,21,282,56,30,4,38,0,2,22,20,12,2,0,1753,16, Bengals,145,27,147,27,17,11,72,0,0,17,9,0,1,1,1847,24
04/01/2016, Vikings,151,27,91,19,10,5,37,1,1,14,11,2,1,1,1458,20, Packers,76,26,274,44,28,7,54,1,1,19,15,2,6,3,2142,13